date,pollster,unsure,fidesz,tisza,dk_mszp_p,mihazank,mkkp,momentum,url
2024-09-10,Medián,0.3,0.3,0.25,0.02,0.04,0.04,0.01,https://hvg.hu/360/20240911_Median-meres-Gyorsabban-fogy-a-Fidesz-elonye-mint-Orban-Viktor-Tisza-Magyar-Peter-DK
2024-09-06,IDEA,0.28,0.28,0.23,0.06,0.06,0.03,0.02,https://www.facebook.com/photo?fbid=836698345211480&set=a.508321001382551
2024-07-31,IDEA,0.31,0.28,0.22,0.05,0.04,0.03,0.02,https://www.facebook.com/photo/?fbid=819184690296179&set=a.508321001382551
2024-07-10,Medián,0.27,0.32,0.21,0.06,0.06,0.04,0.02,https://hvg.hu/360/20240718_hvg-median-ep-valasztas-fidesz-tisza-dk-gyurcsany
2024-07-08,Republikon,0.26,0.31,0.23,0.07,0.04,0.04,0.03,"https://republikon.hu/elemzesek,-kutatasok/24-07-15-kvk.aspx"
2024-06-27,IDEA,0.26,0.3,0.23,0.07,0.05,0.03,0.02,https://24.hu/belfold/2024/07/04/tisza-part-fidesz-idea-kozvelemeny-kutatas/
2024-06-05,Medián,0.29,0.35,0.19,0.07,0.03,0.03,0.02,https://hvg.hu/itthon/20240607_median-az-europai-parlamenti-valasztas-biztos-magyarorszagi-gyoztese-a-fidesz-kdnp
2024-06-02,ZRI,0.24,0.31,0.19,0.09,0.03,0.02,0.04,https://telex.hu/belfold/2024/06/04/zavecz-kutatas-ep-valasztas-fidesz-tisza-part-dk-tamogatottsaga
2024-05-29,Medián,0.31,0.32,0.19,0.04,0.04,0.03,0.04,https://hvg.hu/itthon/20240530_median-a-tisza-tovabb-erosodott-de-a-fidesz-is
2024-05-29,IDEA,0.29,0.31,0.18,0.09,0.04,0.03,0.03,https://24.hu/belfold/2024/06/05/idea-intezet-valasztas-partpreferencia-kutatas-fidesz-tisza/
2024-05-10,ZRI,0.24,0.28,0.19,0.12,0.04,0.02,0.04,https://rtl.hu/europa/2024/05/14/zavecz-ep-valasztas-kozvelemeny-kutatas-fidesz-tisza-part-dk
2024-05-04,IDEA,0.31,0.27,0.14,0.12,0.03,0.04,0.03,http://www.ideaintezet.hu/hu/hirek-aktualis/121/harom-part-a-parlamenti-bejutasi-kuszob-folott
2024-05-04,IDEA,0.25,0.27,0.15,0.13,0.04,0.04,0.03,http://www.ideaintezet.hu/hu/hirek-aktualis/121/harom-part-a-parlamenti-bejutasi-kuszob-folott
2024-04-30,Publicus,0.34,0.24,0.14,0.16,0.03,0.02,0.02,https://publicus.hu/blog/partok-tamogatottsaga-2024-aprilis/
2024-04-30,Publicus,0.29,0.3,0.16,0.16,0.03,0.02,0.02,https://publicus.hu/blog/ep-fej-fej-mellett-a-tisza-part-es-a-dk-mszp-parbeszed-zoldek/
2024-04-30,Publicus,0.18,0.33,0.16,0.2,0.03,0.02,0.03,https://publicus.hu/blog/partok-tamogatottsaga-2024-aprilis/
2024-04-29,Medián,0.27,0.32,0.17,0.06,0.04,0.05,0.03,https://hvg.hu/360/20240430_hvg-median-ep-onkormanyzati-valasztas-magyar-peter-tisza-part-fidesz-ellenzek
2024-04-26,Republikon,0.19,0.27,0.14,0.19,0.05,0.05,0.04,"http://republikon.hu/elemzesek,-kutatasok/24-05-03_kvk-aprilis.aspx"
2024-04-19,Iránytű,0.44,0.27,0.13,0.05,0.03,0.03,0.01,http://iranytuintezet.hu/elemzesek-kutatasok/mind/259-kik-a-tisza-part-szavazoi---az-iranytu-intezet-orszagos-kozvelemeny-kutatasa/
2024-04-11,ZRI,0.32,0.25,0.0,0.16,0.05,0.05,0.05,https://24.hu/belfold/2024/04/22/ep-valasztas-2024-kampany-felmeres-kutatas-zavecz-fidesz-magyar-peter-dk-parbeszed-mszp/
2024-04-11,ZRI,0.25,0.25,0.11,0.18,0.06,0.05,0.05,https://24.hu/belfold/2024/04/22/ep-valasztas-2024-kampany-felmeres-kutatas-zavecz-fidesz-magyar-peter-dk-parbeszed-mszp/
2024-04-08,IDEA,0.33,0.25,0.0,0.13,0.04,0.04,0.04,http://www.ideaintezet.hu/hu/hirek-aktualis/120/a-kormanypartok-es-az-ellenzeki-partok-tamogatottsaga-is-csokkent-az-utobbi-idoszakban#top
2024-04-02,Republikon,0.27,0.26,0.0,0.18,0.06,0.05,0.05,"http://republikon.hu/elemzesek,-kutatasok/24-04-05_kvk.aspx"
2024-04-02,Republikon,0.24,0.25,0.11,0.17,0.06,0.04,0.03,"http://republikon.hu/elemzesek,-kutatasok/24-04-05_kvk.aspx"
2024-03-09,Medián,0.29,0.32,0.0,0.1,0.06,0.08,0.05,https://m.hvg.hu/360/20240313_median
2024-03-12,IDEA,0.33,0.26,0.0,0.15,0.05,0.05,0.05,https://www.facebook.com/ideaintezet/posts/pfbid0kazobzUJC9u4jD1AbifpWF3Psi9uRWeigNe5nphCM5GFyPRsCMeKCpBNuh1VZsfzl
2024-03-09,ZRI,0.32,0.29,0.0,0.17,0.06,0.03,0.05,https://24.hu/belfold/2024/03/14/fidesz-ellenzek-valasztas-2024-zavecz-kutatas-tamogatottsag/
2024-02-28,Republikon,0.29,0.26,0.0,0.17,0.06,0.06,0.06,"http://republikon.hu/elemzesek,-kutatasok/23-03-11_havi-kutatas.aspx"
2024-02-26,21 Kutató,0.32,0.3,0.0,0.12,0.05,0.06,0.05,https://24.hu/belfold/2024/03/01/21-kutatokozpont-fidesz-kegyelmi-ugy-ellenzek-ep-valasztas/
2024-02-09,IDEA,0.34,0.27,0.0,0.16,0.06,0.05,0.05,http://www.ideaintezet.hu/hu/hirek-aktualis/118/a-kegyelmi-ugy-akkor-erte-a-kormanypartokat--amikor-elkezdtek-kilabalni-nepszerusegvesztesukbol
2024-01-20,Republikon,0.34,0.28,0.0,0.17,0.06,0.05,0.05,"http://republikon.hu/elemzesek,-kutatasok/24-01-26-kvk.aspx"
2024-01-11,Medián,0.37,0.32,0.0,0.08,0.05,0.05,0.04,https://hvg.hu/360/20240124_hvg_onkormanyzati_valasztas_median_fidesz_ellenzek_momentum_dk_kozvelemenykutatas_epvalasztas
2024-01-08,IDEA,0.37,0.26,0.0,0.15,0.06,0.04,0.05,https://www.facebook.com/ideaintezet/posts/pfbid07p5whdi7DLgYb4SuvY2gnad3LwdVfApEBtWjjVDH8vJSumbWugVzWZGDTpkTSQXCl
2023-12-15,Publicus,0.36,0.25,0.0,0.19,0.03,0.03,0.04,https://publicus.hu/blog/partok-tamogatottsaga-2023-december/
2023-12-15,Publicus,0.24,0.33,0.0,0.22,0.03,0.03,0.05,https://publicus.hu/blog/partok-tamogatottsaga-2023-december/
2023-12-13,IDEA,0.37,0.26,0.0,0.15,0.06,0.05,0.05,https://www.facebook.com/ideaintezet/posts/pfbid0cWS17MZbfKr6e5TVCYYBbaqhwaKpymXxjeoFYcJAZuFatrYjwEtxXbUXYg954PUHl
2023-11-24,Republikon,0.34,0.29,0.0,0.16,0.06,0.05,0.05,"http://republikon.hu/elemzesek,-kutatasok/23-12-06-kvk.aspx"
2023-11-16,IDEA,0.38,0.26,0.0,0.15,0.06,0.04,0.05,https://www.facebook.com/ideaintezet/posts/pfbid0ZC6cKzSracDeE8wESq7G1UzEaFco2N74kyVX3pthRhG7JnASBoVunw1mgKKLMJGSl
2023-11-08,ZRI,0.25,0.32,0.0,0.19,0.06,0.03,0.05,https://24.hu/belfold/2023/11/15/zavecz-kozvelemeny-kutatas-partok-tamogatottsaga-fidesz-ellenzek-budapest-videk/
2023-11-08,ZRI,0.2,0.34,0.0,0.0,0.06,0.04,0.0,https://szocialis.eu/zavecz_2023_11.pdf
2023-10-24,Republikon,0.33,0.29,0.0,0.16,0.07,0.05,0.05,"http://republikon.hu/elemzesek,-kutatasok/23-11-07-kvk.aspx"
2023-10-13,IDEA,0.37,0.27,0.0,0.15,0.06,0.04,0.05,http://www.ideaintezet.hu/hu/hirek-aktualis/113/egyelore-megallt-a-fidesz-tamogatottsaga-----2023--oktober
2023-09-27,Medián,0.34,0.3,0.0,0.08,0.07,0.06,0.04,https://hvg.hu/360/20231004_Median_partok_partpreferenciak_kozvelemenykutatas_onkormanyzati_valasztasok_EPvalasztas
2023-09-25,Republikon,0.32,0.29,0.0,0.16,0.07,0.06,0.06,"http://republikon.hu/elemzesek,-kutatasok/23-10-09-kvk.aspx"
2023-09-18,ZRI,0.3,0.3,0.0,0.17,0.07,0.04,0.05,https://www.zaveczresearch.hu/a-mi-hazank-es-a-kutyapart-voltak-az-idei-nyar-nyertesei/
2023-09-07,Publicus,0.4,0.27,0.0,0.16,0.03,0.03,0.04,https://publicus.hu/blog/tizbol-het-ellenzeki-szerint-a-kozos-listaval-jobb-eredmenyt-lehet-elerni-az-europai-parlamenti-valasztason/
2023-09-07,Publicus,0.29,0.33,0.0,0.0,0.03,0.02,0.0,https://publicus.hu/blog/tizbol-het-ellenzeki-szerint-a-kozos-listaval-jobb-eredmenyt-lehet-elerni-az-europai-parlamenti-valasztason/
2023-09-07,Publicus,0.27,0.34,0.0,0.18,0.04,0.04,0.05,https://publicus.hu/blog/tizbol-het-ellenzeki-szerint-a-kozos-listaval-jobb-eredmenyt-lehet-elerni-az-europai-parlamenti-valasztason/
2023-09-07,Publicus,0.23,0.4,0.0,0.0,0.03,0.03,0.0,https://publicus.hu/blog/tizbol-het-ellenzeki-szerint-a-kozos-listaval-jobb-eredmenyt-lehet-elerni-az-europai-parlamenti-valasztason/
